"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202410","ARCH156","TOOLS AND TECHNIQUES II","002","10037","TR","8:30 AM - 9:50 AM"," ","Open","95","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10037",""
"202410","ARCH156","TOOLS AND TECHNIQUES II","004","10038","TR","8:30 AM - 9:50 AM"," ","Closed","0","16","Salomon Betech, Arie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10038",""
"202410","ARCH156","TOOLS AND TECHNIQUES II","006","10039","TR","8:30 AM - 9:50 AM"," ","Closed","0","15","Richter, Raquel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10039",""
"202410","ARCH156","TOOLS AND TECHNIQUES II","008","10040","TR","8:30 AM - 9:50 AM"," ","Closed","0","15","Rogan, Kevin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10040",""
"202410","ARCH156","TOOLS AND TECHNIQUES II","010","10041","TR","8:30 AM - 9:50 AM"," ","Closed","0","16","Ferraro, Matteo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10041",""
"202410","ARCH156","TOOLS AND TECHNIQUES II","012","10042","TR","8:30 AM - 9:50 AM"," ","Closed","0","16","Griffith, Ashley","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10042",""
"202410","ARCH156","TOOLS AND TECHNIQUES II","014","10043","TR","10:00 AM - 11:20 AM"," ","Open","70","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10043",""
"202410","ARCH156","TOOLS AND TECHNIQUES II","016","10044","TR","10:00 AM - 11:20 AM"," ","Closed","0","17","Ferraro, Matteo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10044",""
"202410","ARCH156","TOOLS AND TECHNIQUES II","018","10045","TR","10:00 AM - 11:20 AM"," ","Closed","0","12","Clark, Cameron","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10045",""
"202410","ARCH156","TOOLS AND TECHNIQUES II","020","10046","TR","10:00 AM - 11:20 AM"," ","Closed","0","15","Rogan, Kevin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10046",""
"202410","ARCH156","TOOLS AND TECHNIQUES II","022","10047","TR","10:00 AM - 11:20 AM"," ","Closed","0","14","Rogers, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10047",""
"202410","ARCH156","TOOLS AND TECHNIQUES II","024","16193","TR","10:00 AM - 11:20 AM"," ","Closed","0","8","Salomon Betech, Arie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16193",""
"202410","ARCH156","TOOLS AND TECHNIQUES II","SCT","16212","","TBA"," ","Closed","0","1","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=16212","For Sussex County Technical School Students Only"
"202410","ARCH156","TOOLS AND TECHNIQUES II - HONORS","H02","10048","TR","10:00 AM - 11:20 AM"," ","Closed","15","15","Richter, Raquel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10048","Honors Course"
"202410","ARCH196","ARCHITECTURE STUDIO II","002","10049","MR","1:00 PM - 5:20 PM"," ","Open","180","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10049",""
"202410","ARCH196","ARCHITECTURE STUDIO II","004","10050","MR","1:00 PM - 5:20 PM"," ","Closed","0","15","Malellari, Enkela","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10050",""
"202410","ARCH196","ARCHITECTURE STUDIO II","006","10051","MR","1:00 PM - 5:20 PM"," ","Closed","0","15","Petrocelli, Luke","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10051",""
"202410","ARCH196","ARCHITECTURE STUDIO II","008","10052","MR","1:00 PM - 5:20 PM"," ","Closed","0","14","Coleman, James","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10052",""
"202410","ARCH196","ARCHITECTURE STUDIO II","010","10053","MR","1:00 PM - 5:20 PM"," ","Closed","0","16","Patel, Shixa","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10053",""
"202410","ARCH196","ARCHITECTURE STUDIO II","012","10054","MR","1:00 PM - 5:20 PM"," ","Closed","0","15","Peirovani, Armita","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10054",""
"202410","ARCH196","ARCHITECTURE STUDIO II","014","10055","MR","1:00 PM - 5:20 PM"," ","Closed","0","16","Smith, Blake","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10055",""
"202410","ARCH196","ARCHITECTURE STUDIO II","016","10056","MR","1:00 PM - 5:20 PM"," ","Closed","0","16","Ikharo, Hayyatu-deen","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10056",""
"202410","ARCH196","ARCHITECTURE STUDIO II","018","10057","MR","1:00 PM - 5:20 PM"," ","Closed","0","12","Parikh, Darshan","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10057",""
"202410","ARCH196","ARCHITECTURE STUDIO II","020","10058","MR","1:00 PM - 5:20 PM"," ","Closed","0","15","Chen, Julie","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10058",""
"202410","ARCH196","ARCHITECTURE STUDIO II","022","10059","MR","1:00 PM - 5:20 PM"," ","Closed","0","14","Hairullaev, Behruz","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10059",""
"202410","ARCH196","ARCHITECTURE STUDIO II","024","10060","MR","1:00 PM - 5:20 PM"," ","Closed","0","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10060","Cancelled 12/14/23"
"202410","ARCH196","ARCHITECTURE STUDIO II - HONORS","H02","10061","MR","1:00 PM - 5:20 PM"," ","Closed","15","15","Ogorzalek, Thomas","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10061","Honors Course"
"202410","ARCH211","HISTORY OF ARCHITECTURE II","002","10062","TF","1:00 PM - 2:20 PM","WEST LECT 1","Open","135","123","Godel, Addison","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10062",""
"202410","ARCH211","HISTORY OF ARCHITECTURE II - HONORS","HM2","10063","TF","1:00 PM - 2:20 PM","WEST LECT 1","Open","15","4","Godel, Addison","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10063","Honors Course"
"202410","ARCH224","CONSTRUCTION II","002","10064","MW","8:30 AM - 9:50 AM","WEST LECT 1","Open","160","146","Garcia Figueroa, Julio","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10064",""
"202410","ARCH282","STRUCTURAL PRINCIPLES","002","10065","MR","10:00 AM - 11:20 AM","FMH 403","Open","26","25","Ogorzalek, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10065",""
"202410","ARCH296","ARCHITECTURE STUDIO IV","002","10066","MR","1:00 PM - 5:20 PM"," ","Open","165","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10066",""
"202410","ARCH296","ARCHITECTURE STUDIO IV","004","10067","MR","1:00 PM - 5:20 PM"," ","Closed","0","14","Pellegrino, Erin","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10067",""
"202410","ARCH296","ARCHITECTURE STUDIO IV","006","10068","MR","1:00 PM - 5:20 PM"," ","Closed","0","15","Firestone, Charles","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10068",""
"202410","ARCH296","ARCHITECTURE STUDIO IV","008","10069","MR","1:00 PM - 5:20 PM"," ","Closed","0","15","Berlinghieri, Joseph","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10069",""
"202410","ARCH296","ARCHITECTURE STUDIO IV","010","10070","MR","1:00 PM - 5:20 PM"," ","Closed","0","15","Mergold, Aleksandr","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10070",""
"202410","ARCH296","ARCHITECTURE STUDIO IV","012","10071","MR","1:00 PM - 5:20 PM"," ","Closed","0","15","McGlynn, Maya","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10071",""
"202410","ARCH296","ARCHITECTURE STUDIO IV","014","10072","MR","1:00 PM - 5:20 PM"," ","Closed","0","15","Myren, Ross","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10072",""
"202410","ARCH296","ARCHITECTURE STUDIO IV","016","10073","MR","1:00 PM - 5:20 PM"," ","Closed","0","15","Lee, Silvia","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10073",""
"202410","ARCH296","ARCHITECTURE STUDIO IV","018","10074","MR","1:00 PM - 5:20 PM"," ","Closed","0","15","Kahen, Ryan","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10074",""
"202410","ARCH296","ARCHITECTURE STUDIO IV","020","10075","MR","1:00 PM - 5:20 PM"," ","Closed","0","15","Harrington, Anthony","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10075",""
"202410","ARCH296","ARCHITECTURE STUDIO IV","022","10076","MR","1:00 PM - 5:20 PM"," ","Closed","0","15","Bonomi Durer Bacchetti, Maria Aurora","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2024 Spring&crn-1=10076",""
